Title,Authors
치즈인더트랩,순끼
숲속의 담,다홍
고래별,나윤희
귀곡의 문,삼촌
마루는 강쥐,모죠
여중생A,허5파6
오늘의 순정망화,손하기
연의 편지,조현아
수능일기,자까
롤랑롤랑,자유
슈퍼 시크릿,이온
가담항설,랑또
토마토가 돼라!,뮤리
골든 체인지,브림스
스피릿 핑거스,한경찰
윈터우즈,"cosmos,반지"
신비,반지
가비지타임,2사장
에밀리의 저택,손하기
산타 스카우트,조현아
이번 생도 잘 부탁해,이혜
계룡선녀전,돌배
진돌히디만화,"진돌,히디"
검은인간,이저녁
노곤하개,홍끼
시월드가 내게 집착한다휴재,"승우,한윤설"
푸들과 Dog거중,최삡뺩
오!주예수여,아현
세기말 풋사과 보습학원휴재,순끼
순정빌런,세윤
삼이는 재생한다휴재,강은영
금세 사랑에 빠지는,박수봉
오늘부터 0촌!,"진돌,히디"
늑대와 빨간모자,슈안
용비불패 완전판,"류기운,문정후"
3X3!,만능유자차
최고의 뿔소라,김인정
나노리스트,민송아
롭플롭,CTK
묘약마녀,자유
악마와 계약연애,"장진,움비"
썩은 핑크의 법칙,힙합신선
제목을 찾을 수 없음,작가 정보를 찾을 수 없음
이상하고 아름다운,허니비
환생동물학교,엘렌 심
달수 이야기,산삼
집이 없어,와난
유일무이 로맨스,두부
탑아이돌의 막내 멤버가 되었다휴재,"맛곰,강서울"
"다비, 아찔하게 흐르는휴재","소프트콘,이은비"
저 그런 인재 아닙니다휴재,"에몽,머나,덴피"
귀전구담,QTT
겟백,세윤
야채호빵의 봄방학,박수봉
제목을 찾을 수 없음,작가 정보를 찾을 수 없음
마침표의 유예기간휴재,고아라
귀신새가 지저귀면휴재,홍타래
합격시켜주세용,이온
내곁엔 없을까,쑤녕
오늘도 사랑스럽개,이혜
정순애 식당,아르몽
청춘 블라썸,"홍덕,NEMONE"
미래의 골동품 가게휴재,구아진
호랑신랑뎐,고추참치
파도의 포말,라떼
여고생 드래곤,땅콩
호랑이 들어와요,"배세혁,유은"
제목을 찾을 수 없음,작가 정보를 찾을 수 없음
전자오락수호대,가스파드
남주의 첫날밤을 가져버렸다,"티바,MSG,황도톨"
샌프란시스코 화랑관,돌배
여름여자 하보이,석영
나는 귀머거리다,라일라
먹이,"외눈박이,박수봉"
고인의 명복,"조주희,유노"
지금 이 순간 마법처럼,나윤희
견우와 선녀,안수민
너의 미소가 함정휴재,앵고
호러와 로맨스,루시드
야생천사 보호구역,루시드
서북의 저승사자,양세준
"그 개, 만두",호정
마침내 사랑이에요 마왕님!,밀크마스터
오즈랜드,이윤창
플랫다이어리,임현
숲 속의 미마,후은
후궁 스캔들,"기트로우,정현"
달콤한 인생_스페셜 에피소드,이동건
홍차리브레,꼬모소이
엑스트라 이야기(feat.금연),GIMS
목욕의 신,하일권
냐한남자,올소
레코닝,이혜
구름의 이동속도,김이랑
대신 심부름을 해다오,고아라
녹두전,혜진양
병의 맛,하일권
동트는 로맨스,유월
팬인데 왜요,요나
휴재일기휴재,자까
비질란테,"CRG,김규삼"
웰캄투실버라이프,솔녀
찬란하지 않아도 괜찮아,까마중
여중생A-우리들의 축제,허5파6
미니어처 생활백서휴재,엘렌 심
당신의 향수,호우
허니버니,소금
고교생을 환불해 주세요,Croissant
그렇고 그런 바람에,아니영
프린스의 왕자,"재아,SE"
신과함께,주호민
"헤어진 다음날, 달리기",돌배
아이덴티티,"시니,수훈"
쌉니다 천리마마트,김규삼
그 판타지 세계에서 사는 법휴재,촌장
썸머 브리즈,한경찰
MZ-레이징 인페르노,"최훈,청설모"
후아유!,"이범,이도윤"
인어를 위한 수영교실,용찬
푸쉬오프,허5파6
환상적인 소년,후은
괜찮니? 얘들아,모랑지
니나의 마법서랍,랑또
키미앤조이,치자
오라존미,허5파6
1인용 기분,윤파랑
모퉁이 뜨개방,소영
파도의 주인,이뫄
그 해 우리는 - 초여름이 좋아!,한경찰
저승에서 만난 사람들,"단우,백희"
대학원 탈출일지,요다
안녕 나의 모모로,켄타
같은도장,이힝
살아남은 로맨스,이연
범상찮은 밤휴재,어사화
MZ-퓨어 이블,"최훈,청설모"
엔딩 후 서브남을 주웠다,"정서,황도톨"
개장수,김규삼
마음의 숙제,고아라
위아더좀비,이명재
그마남 이야기,김밀콩
귀각시,세정
이발소 밑 게임가게,하일권
죽음에 관하여,"시니,혀노"
현혹,홍작가
에티오피아에서 그렸낢,서나래
달콤살벌한 부부,"장그린,플라비"
마녀 어머니와 좀비 아들,시뉴라
공대생 너무만화,최삡뺩
모죠의 일지,모죠
방 안의 코끼리,고요
걸어서 30분,이온도
텃밭부 사건일지,오이츄
대학일기,자까
Yes my boss(예스마이보스),김밀콩
앵무살수,김성진
가짜 동맹,케냠
방과후 레시피,혜루
스윗솔티,달삐
당신에게 끌리는 올바른 이유,혜니
용왕님의 셰프가 되었습니다,"옥,카라쿨,문백경"
제목을 찾을 수 없음,작가 정보를 찾을 수 없음
원작은 완결난 지 한참 됐습니다만,"도래,원더드림"
오늘도 형제는 평화롭다,GIMS
이츠마인,럭스
온리호프휴재,초승
달이 없는 나라,엥비
도롱이,사이사
트럼프,이채은
퍼스트 미션,신의철
선을 넘은 연애,서녜
밥 먹고 갈래요?,오묘
광장,"오세형,김균태"
"찬란하지 않아도 괜찮아, 새벽",까마중
마법사랑해휴재,"명랑,청설모"
성검전설휴재,최다킬
알고있지만,정서
파도를 찾아라!,김정현
올가미,해무리
부로콜리왕자,산삼
오늘도 핸드메이드!,소영
질풍기획 시즌2,이현민
다시쓰는 연애사,"최경민,영모"
썸남휴재,배철완
홍끼의 메소포타미아 신화,홍끼
이런 영웅은 싫어,삼촌
셧업앤댄스,이은재
뮤즈 온 유명,수진
간 떨어지는 동거,나
칼가는 소녀,오리
소곤소곤,옛사람
"아, 쫌 참으세요 영주님!","새우초밥,daybook"
유리와 유리와 유리,요엔
사내연애 사절!휴재,"두부,남수"
반대로 끌리는 사이,한구
언럭키 맨션,약국
고고고,"정은경,하일권"
키스는 자기 전에휴재,이채은
주부 육성중,임현
펀치드렁커드,고태호
에브리띵 이즈 파인휴재,마이크 버첼
그놈은 흑염룡,혜진양
관찰일기,파랑
뱀이 앉은 자리,김이연
푸른사막 아아루,달꽃
하이브 3,김규삼
신석기녀,"재아,한가람"
같은 학교 친구휴재,유유
괴물 의상실휴재,스페트
홍 의관의 은밀한 비밀,"유계진,서이나"
버려진 나의 최애를 위하여휴재,"류호,기묭,김선유"
우바우,잇선
살인자o난감,꼬마비
좀비딸,이윤창
호걸옹주,탐토
스위트홈,"김칸비,황영찬"
와이키키 뱀파이어,요니요니
친애하는 X,반지운
독립일기,자까
환상연가,반지운
중증외상센터 : 골든 아워,"홍비치라,한산이가"
우리집에 곰이 이사왔다,켄타
성스러운 그대 이르시길,"26,유다,앵뚜,로주,미나토"
옆반의 인어,요엔
굿 리스너,쥬드 프라이데이
진눈깨비 소년,쥬드 프라이데이
마른 가지에 바람처럼휴재,"화음,달새울"
필리아로제 - 가시왕관의 예언,"백화등,Ryuta,김영지"
참치와 돌고래,이힝
또 다른 사랑,"이순기,또각,스파클라"
"꿈꾸는 소녀, 소년",한경찰
보나파르트,몹시찰진우럭
"오, 친애하는 숙적","오쏘,무정,미나토"
악당 가족이 독립을 반대한다휴재,"밋츄,하티,이흰"
밤마다 남편이 바뀐다,"구슬,여슬기,한윤설"
제목을 찾을 수 없음,작가 정보를 찾을 수 없음
오른눈이 보는 세계,코어
고양이 타타,로로
이번 생도 잘 부탁해 - 기억의 한 조각,이혜
Doll 체인지,늉비
언터처블,맛스타
캐슬,정연
쓰레기는 쓰레기통에!,EDDiERiNG
함부로 친절하지 말라휴재,"아린,류화,유세라"
데드데이즈(DEAD DAYS),DEY
원 뿔러스 원,청보리
세기말 데빌,섀이
미스터 모,POGO
닥터 프로스트 시즌 3~4,이종범
문래빗,이난
스튜디오 짭쪼롬,오묘
화이트 블러드,임리나
로베스의 완전감각,정샛별
오늘의 비너스,"엄세윤,도달"
Ho!,억수씨
각자의 디데이,오묘
피라미드 게임,달꼬냑
북부 공작님을 유혹하겠습니다,"가천가,은하수,주시하"
냄새를 보는 소녀,만취
라일락 200%,아니영
무원야담휴재,호우
애늙은이,환댕
달로 만든 아이휴재,온윤
셈하는 사이,면지
신령,이혜
로잘린 보가트,"삼월에,마하,하노HANO"
제목을 찾을 수 없음,작가 정보를 찾을 수 없음
상남자휴재,"하늘소,도가도,김태궁"
주인님을 잡아먹는 방법,"세인,차혜영"
결혼공략,율무
오민혁 단편선,오민혁
퍼스트 스위트,"조주희,도도"
"플레이, 플리",이에프
만찢남녀,님니
귀도호가록,이수민
국립자유경제고등학교 세실고 2학기,"양혜석,이현지"
수인 보호소에서 남주를 입양해 버렸다휴재,"유지별이,설단희"
꼬맹이를 부탁해!,마라링
시타를 위하여,하가
아홉수 우리들휴재,수박양
상사불상사휴재,"영하,공사"
제목을 찾을 수 없음,작가 정보를 찾을 수 없음
NG불가,고선영
도전! 집콕취미,"이동건,홍끼,모죠"
아는 여자애,허니비
범이올시다!,해
결혼생활 그림일기,은꼼지
정년이,"서이레,나몬"
청춘계시록휴재,한서
해시의 신루휴재,"명랑,INUS,윤이수"
일파만파휴재,"최아서,꿍베"
희생부활자,김규삼
고수,"류기운,문정후"
올해의 벚꽃도 함께,박수봉
신시의 손님,이뫄
사이드킥 2~3,신의철
손 안의 안단테,나윤희
겨울 정원의 하와르,"단청,래럿,미나토"
첫날밤을 보낸 그 악녀를 찾습니다휴재,"은라겸,풀모"
로또 황녀님휴재,"무무경,도힌,보리멸"
엄마와 딸 x2,필냉이
지니의 세포들,이동건
너에게만 보이는,소소만
사랑과 평강의 온달!,"한기주,일"
전여친,이동건
레사 시즌2~3,POGO
"사랑, 그거 어떻게 하는 건데휴재",이범
빙의,"후렛샤,김홍태"
그날 죽은 나는,이언
