Title,Authors,Story,Webtoon Info,Like Count,1st Date,#
치즈인더트랩,순끼,"평범한 여대생 홍설, 그리고 어딘가 수상한 선배 유정.
미묘한 관계의 이들이 펼쳐나가는 이야기.",312화 완결∙12세 이용가,"329,988",18.12.21,"#로맨스, #명작, #드라마&영화 원작웹툰, #캠퍼스로맨스, #삼각관계, #완결로맨스"
숲속의 담,다홍,"어느 순간부터 성장이 멈춘 '담'은
사람들을 피해 숲속으로 떠난다.",132화 완결∙전체연령가,"331,689",19.12.23,"#판타지, #명작, #2019 지상최대공모전, #아포칼립스, #완결판타지"
고래별,나윤희,"1926년 일제 식민 지배 하의 조선. 
17세 소녀 수아는 군산 일대 친일파 대지주의 집에서 몸종으로 일하고 있다. 
어느 날 수아는 부상을 입은 채 해변가에 쓰러져 있는 독립운동가 의현을 발견하고, 그를 보호하게 되는데...",108화 완결∙12세 이용가,"326,033",19.06.20,"#로맨스, #명작, #후회물, #성장드라마, #완결로맨스"
귀곡의 문,삼촌,"귀신소굴로 유명한 삼도천동의 흉가,
평범한(?) 세입자들의 일상 개그",190화 완결∙12세 이용가,"213,673",18.10.16,"#드라마, #오컬트, #완결드라마"
마루는 강쥐,모죠,"우리 집 강아지 마루가 사람이 되었다, 그것도 5살 아이로!
강아지 + 어린아이의 무한 에너지와 호기심을 지닌 사고뭉치 강쥐 탄생! 
마루야~! 또 어디가!!! 유쾌한 이웃들과 우당탕탕 즐거운 마루의 나날들",119화 완결∙전체연령가,"671,519",22.06.13,"#개그, #일상개그힐링, #감성적인, #공감, #현대, #일상, #가벼운, #무해한, #햇살캐, #힐링, #육아물, #4차원, #인외존재, #동물, #완결개그"
여중생A,허5파6,"게임에 빠져 사는 중학생 장미래.
생각 많고 내향적인 그녀의 현실 속 학교생활.",125화 완결∙전체연령가,"335,119",15.02.08,"#드라마, #명작, #드라마, #드라마&영화 원작웹툰, #하이퍼리얼리즘, #성장드라마, #감성드라마, #완결드라마"
오늘의 순정망화,손하기,"그마고 초엘리트집단 삼국시대 앞에 나타난 전학생 가야!
가야의 마음을 얻는 건 누구?",427화 완결∙전체연령가,"199,755",18.09.09,"#개그, #완결개그"
연의 편지,조현아,"​짧았던 여름방학이 끝나고 만난 마법같은 시간.. 그때 우리는 친구였을까?
정말 궁금해. 이렇게 다정한 네가 누군지..​
여름 특선 10부작.",12화 완결∙전체연령가,"172,239",18.08.11,"#드라마, #명작, #청춘로맨스, #완결드라마"
수능일기,자까,"대학에 가면 모든게 행복할 줄 알았던...
그 때의 처절했던 기억 속으로...",16화 완결∙전체연령가,"298,974",19.09.21,"#개그, #완결개그"
롤랑롤랑,자유,"코기 왕자 롤랑과 마녀 루이사의 모험 이야기.
베일에 숨겨져 있던 대사제의 과거와 교단의 비밀이 드디어 밝혀지는데...",152화 완결∙전체연령가,"142,930",18.09.05,"#판타지, #인외존재, #성장드라마, #동물, #완결판타지"
슈퍼 시크릿,이온,평범한 여대생 은호와 조금 특별한 소꿉친구 견우의 술래잡기. 은호만 모르는 이웃집의 비밀들이 밝혀진다,144화 완결∙전체연령가,"515,084",15.03.30,"#로맨스, #소꿉친구, #친구>연인, #인외존재, #완결로맨스"
가담항설,랑또,"이번 주인공은 돌이다!
돌이지만 동료도 모으고 악당도 물리친다!
랑또 작가표 동양 판타지 소년만화",247화 완결∙12세 이용가,"329,561",16.01.13,"#판타지, #명작, #소년왕도물, #완결판타지"
토마토가 돼라!,뮤리,껄렁한 겉모습으로 인해 음험한 소문을 몰고 다니는 시골 토박이 전학생 신이석은 첫눈에 반한 전교 1등 수재 조해주의 앙큼한 비밀을 목격하게 되고... 그에 대한 의문은 점차 눈덩이처럼 불어나기만 한다. 겉만 번지르르 붉고 속은 흰 사과 같은 조해주에게 진성 토마토 신이석의 짝사랑 폭격이 시작된다!,월요웹툰∙15세 이용가,"334,111",25.04.06,"#로맨스, #설렘폭발, #청춘, #공식미남, #능글남, #짝사랑녀, #가벼운, #햇살캐, #러블리, #폭스남, #학원로맨스, #청춘로맨스"
골든 체인지,브림스,세상에서 가장 불운한 소녀 강유와 소녀의 불운을 막아주는 수상한 산신령 우암이 펼치는 판타지세계,213화 완결∙전체연령가,"231,960",16.10.06,"#판타지, #완결판타지"
스피릿 핑거스,한경찰,"평범한 여고생, 알록달록 이상한 그림모임에 들어가다!
나만의 색을 찾아 떠나는 모험 이야기!",168화 완결∙전체연령가,"710,564",15.05.16,"#로맨스, #동아리, #성장드라마, #감성드라마, #완결로맨스"
윈터우즈,"cosmos,반지","살아있는 사람이 되고 싶은 윈터,
베스트셀러 동화 작가가 되고 싶은 제인
두 사람의 알록달록 동화같은 이야기",130화 완결∙전체연령가,"384,947",14.07.13,"#로맨스, #로판, #완결로맨스"
신비,반지,"긴 잠에서 깨어난 미지의 생명체 신비와 
그녀를 사랑하게 된 가람의 사랑 이야기 
'나의 뮤즈가 되어 줄래?'",95화 완결∙12세 이용가,"385,935",20.02.19,"#로맨스, #2019 지상최대공모전, #인외존재, #로판, #완결로맨스"
가비지타임,2사장,"한국 최초 한국형 고교스포츠 웹툰!
열혈따윈 개나 줘, 낙오자들 뿐인 농구부의 운명은?",203화 완결∙전체연령가,"462,266",19.03.02,"#스포츠, #명작, #최강자전, #2017 최강자전, #농구, #스포츠성장, #완결스포츠"
