title_id,episode,like_count,star,star_participants,comment_count,best_comment_likes
720121,1,33946.0,9.92,37351.0,5401.0,"[60618, 52094, 44301, 32999, 15733, 12341, 11317, 10407, 10124, 8544, 6370, 6008, 5720, 4133, 360]"
720121,2,26618.0,9.94,29319.0,1352.0,"[31181, 18134, 13705, 9720, 9553, 7735, 4578, 2074, 1903, 1586, 1213, 543, 340, 169, 87]"
720121,3,21433.0,9.95,24692.0,473.0,"[18265, 16971, 10424, 9193, 5436, 5105, 3995, 2526, 2501, 2215, 1617, 1115, 1011, 947, 796]"
720121,4,20763.0,9.95,24804.0,668.0,"[26470, 21461, 16717, 14576, 5905, 5777, 5155, 3830, 3079, 2494, 2442, 2350, 1963, 1734, 315]"
720121,5,20023.0,9.96,23204.0,447.0,"[18377, 15394, 14112, 13940, 8386, 5585, 3720, 3187, 3171, 2695, 2548, 1411, 1290, 897, 374]"
738145,1,36880.0,9.97,35447.0,2650.0,"[49274, 43798, 35740, 27420, 17671, 15976, 12786, 9551, 7908, 6785, 5343, 4726, 3313, 3176, 417]"
738145,2,29718.0,9.98,28171.0,785.0,"[35998, 28440, 22996, 9251, 7088, 6217, 6105, 5556, 3948, 2570, 2150, 1763, 1624, 336, 225]"
738145,3,26515.0,9.98,25176.0,474.0,"[31550, 19605, 10707, 6626, 6405, 4365, 3839, 2480, 1729, 1523, 1332, 1225, 1180, 1146]"
738145,4,25332.0,9.98,24101.0,367.0,"[33282, 18889, 15246, 13407, 8137, 4779, 3135, 2926, 2569, 1696, 1318, 1190, 1137, 1043, 998]"
738145,5,25416.0,9.98,23852.0,479.0,"[35597, 20615, 16130, 11969, 7868, 5482, 5454, 3566, 3285, 2394, 1723, 1636, 348, 129, 65]"
729767,1,46837.0,9.97,54175.0,3503.0,"[34685, 23598, 16596, 13135, 9917, 6838, 5289, 4752, 3250, 2604, 2303, 2033, 1990, 1264, 372]"
729767,2,37573.0,9.98,48986.0,2319.0,"[47585, 29379, 19067, 18105, 15110, 10949, 7895, 7788, 4178, 3463, 3316, 3242, 3180, 2857, 2523]"
729767,3,33226.0,9.99,67321.0,1679.0,"[37300, 32480, 27851, 26109, 17804, 12444, 10064, 8633, 6576, 4847, 4349, 4007, 2978, 2766, 467]"
729767,4,26127.0,9.98,34818.0,913.0,"[29562, 24364, 15078, 8396, 6892, 5907, 4015, 3117, 2995, 2847, 2405, 2401, 2111, 1647, 1535]"
729767,5,22885.0,9.98,28843.0,634.0,"[36931, 22886, 15275, 11863, 9582, 8349, 6326, 4821, 4783, 4086, 4028, 2982, 2005, 1456, 1316]"
718020,1,50283.0,9.96,62729.0,8533.0,"[45254, 35487, 22365, 17923, 15444, 12075, 10804, 10657, 8726, 7829, 6888, 6215, 5654, 5040, 1000]"
718020,2,38891.0,9.98,47354.0,4610.0,"[60751, 46178, 23958, 13829, 11725, 8528, 8030, 6926, 6851, 5019, 2507, 1221, 718, 605, 157]"
718020,3,32866.0,9.98,37871.0,1638.0,"[34145, 31348, 18362, 12612, 11261, 9337, 9108, 7498, 5570, 5376, 4480, 4119, 3538, 2712, 72]"
718020,4,31261.0,9.98,37817.0,1316.0,"[33627, 26845, 20369, 18472, 12325, 9796, 8126, 7184, 5003, 4389, 4330, 3816, 3674, 2989, 200]"
718020,5,30219.0,9.98,36434.0,1563.0,"[25395, 23639, 22605, 14241, 12587, 10633, 7865, 7334, 3633, 3237, 2958, 2228, 519, 506, 140]"
796152,1,75416.0,9.95,67348.0,5104.0,"[65502, 58461, 38862, 30103, 27458, 23247, 14772, 13497, 12575, 12005, 9574, 8841, 8835, 7123, 3806]"
796152,2,56473.0,9.97,53832.0,2237.0,"[72267, 65089, 41676, 27767, 21895, 14241, 13637, 11523, 10564, 9023, 7843, 6881, 6090, 4701, 2215]"
796152,3,50200.0,9.97,43927.0,1507.0,"[75974, 61815, 40585, 31129, 22681, 17244, 15156, 14586, 10139, 8717, 8299, 6933, 6618, 5475, 5215]"
796152,4,48857.0,9.98,42622.0,1200.0,"[56540, 48094, 42417, 19299, 15838, 11521, 8797, 8082, 7204, 5422, 5004, 4642, 3749, 3385, 3090]"
