title_id,title,avg_like_count,avg_star,avg_participants,avg_comment_count,avg_best_comment_like
720121,치즈인더트랩,24556.6,9.94,27874.0,1668.2,9000.83
738145,숲속의 담,28772.2,9.98,27349.4,951.0,9430.76
729767,고래별,33329.6,9.98,46828.6,1809.6,10078.65
718020,귀곡의 문,36704.0,9.98,44441.0,3532.0,11554.23
796152,마루는 강쥐,55358.4,9.97,49954.6,2241.4,18822.36
647946,여중생A,30160.0,9.97,56007.4,4901.0,20049.19
716857,오늘의 순정망화,31167.2,9.95,36807.0,2432.4,11622.88
713872,연의 편지,41918.67,9.98,60724.0,3507.33,16157.71
734348,수능일기,73421.5,9.98,42225.0,8589.0,21397.63
715935,롤랑롤랑,25691.2,9.98,31016.2,2416.6,8815.56
650304,슈퍼 시크릿,37672.6,9.98,63339.4,4201.6,14341.81
670144,가담항설,27795.0,9.97,49180.4,4311.4,13836.93
805702,토마토가 돼라!,13354.8,9.97,10445.4,317.4,2379.96
685460,골든 체인지,35184.4,9.97,44392.6,4832.6,10464.31
654809,스피릿 핑거스,45689.6,9.97,54979.8,3246.8,12771.93
629056,윈터우즈,23874.0,9.96,50447.2,4649.0,12368.16
740487,신비,33548.6,9.98,30400.4,2108.0,11865.49
703844,가비지타임,30203.0,9.97,27108.6,1890.6,6163.79
824237,에밀리의 저택,10669.6,9.98,11427.6,394.6,4208.95
818575,산타 스카우트,6960.6,9.97,6937.8,373.6,1370.41
746858,이번 생도 잘 부탁해,71206.8,9.97,59574.0,4338.0,23254.29
693431,계룡선녀전,25701.0,9.96,44316.5,3574.0,12508.33
822095,진돌히디만화,15283.2,9.98,15975.8,2429.0,3539.8
718021,검은인간,38606.0,9.97,41962.4,3684.2,15613.97
702672,노곤하개,43811.8,9.97,31898.0,4348.8,10844.23
785251,시월드가 내게 집착한다,34887.4,9.96,28590.4,1971.2,9999.45
721559,푸들과 Dog거중,22729.8,9.96,17802.0,3908.4,8397.97
655744,오!주예수여,35788.67,9.94,61656.67,10017.33,18162.82
761722,세기말 풋사과 보습학원,41576.2,9.97,52222.6,2521.0,15569.35
797731,순정빌런,32547.8,9.97,24163.0,1254.6,9911.84
822874,삼이는 재생한다,7372.0,9.97,6087.2,503.6,2243.54
671270,금세 사랑에 빠지는,10292.2,9.98,25377.8,1848.4,5288.69
829779,오늘부터 0촌!,2780.6,9.98,2733.2,90.6,605.19
716163,늑대와 빨간모자,24832.6,9.97,28862.0,1724.4,9685.16
723714,용비불패 완전판,16729.4,9.95,23825.8,2031.6,3601.29
812223,3X3!,4469.4,9.97,3941.6,231.6,1097.5
808677,최고의 뿔소라,4104.0,9.96,4611.6,161.2,1514.62
670150,나노리스트,47872.0,9.98,63151.4,5942.4,27129.91
780983,롭플롭,1150.6,9.95,1211.6,67.4,256.69
807029,묘약마녀,12895.8,9.95,11021.2,542.2,2661.18
710750,악마와 계약연애,38502.0,9.96,44281.8,1943.4,13773.76
808286,썩은 핑크의 법칙,8472.6,9.95,6768.0,416.4,2658.23
632341,남과 여,,,,,0.0
668723,이상하고 아름다운,38344.2,9.95,53155.8,5847.4,16427.99
700139,환생동물학교,24809.8,9.97,53998.0,2256.2,10417.36
650292,달수 이야기,27254.0,9.94,47924.25,4914.0,13619.67
721433,집이 없어,37478.4,9.87,40960.8,3248.0,16383.65
709731,유일무이 로맨스,37421.8,9.95,37066.2,1596.4,12198.72
819748,탑아이돌의 막내 멤버가 되었다,11353.2,9.96,8171.8,597.0,2996.45
796252,"다비, 아찔하게 흐르는",6517.4,9.96,6318.0,253.0,1229.75
802840,저 그런 인재 아닙니다,23151.2,9.97,16841.8,1038.2,5335.53
694946,귀전구담,46929.6,9.98,63883.8,6253.6,19671.57
727798,겟백,38780.6,9.96,43185.4,1677.6,13121.55
